"2022-07-26 18:07:26 [restartedMain] INFO  c.c.c.CalculateNetworthApplication - Starting CalculateNetworthApplication using Java 17.0.3 on DESKTOP-65JM51O with PID 4072 (E:\portfolio_management\CalculateNetworth\target\classes started by hp in E:\portfolio_management\CalculateNetworth)
""2022-07-26 18:10:51 [http-nio-8084-exec-7] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:10:51 [http-nio-8084-exec-8] INFO  c.c.c.controller.NetworthController - Displaying Networth
""2022-07-26 18:10:57 [http-nio-8084-exec-1] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:10:57 [http-nio-8084-exec-4] INFO  c.c.c.controller.NetworthController - Displaying Networth
""2022-07-26 18:11:02 [http-nio-8084-exec-2] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:11:21 [http-nio-8084-exec-6] INFO  c.c.c.controller.NetworthController - SellingAsset
""2022-07-26 18:11:21 [http-nio-8084-exec-8] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:11:22 [http-nio-8084-exec-5] INFO  c.c.c.controller.NetworthController - Displaying Networth
""2022-07-26 18:11:38 [http-nio-8084-exec-4] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:18:04 [http-nio-8084-exec-3] INFO  c.c.c.controller.NetworthController - Displaying Networth
""2022-07-26 18:18:04 [http-nio-8084-exec-7] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:18:20 [http-nio-8084-exec-10] INFO  c.c.c.controller.NetworthController - Displaying Networth
""2022-07-26 18:18:20 [http-nio-8084-exec-5] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:18:42 [http-nio-8084-exec-4] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:18:50 [http-nio-8084-exec-2] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:18:50 [http-nio-8084-exec-7] INFO  c.c.c.controller.NetworthController - Displaying Networth
""2022-07-26 18:18:55 [http-nio-8084-exec-3] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:19:16 [http-nio-8084-exec-8] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:19:16 [http-nio-8084-exec-6] INFO  c.c.c.controller.NetworthController - Displaying Networth
""2022-07-26 18:19:46 [http-nio-8084-exec-10] INFO  c.c.c.controller.NetworthController - Displaying Networth
""2022-07-26 18:19:46 [http-nio-8084-exec-5] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:20:07 [http-nio-8084-exec-4] INFO  c.c.c.controller.NetworthController - Displaying Asset
""2022-07-26 18:20:07 [http-nio-8084-exec-2] INFO  c.c.c.controller.NetworthController - Displaying Networth
"
