"2022-07-27 09:41:06 [main] INFO  com.jwt.JwtauthenticationApplication - Starting JwtauthenticationApplication using Java 17.0.2 on DESKTOP-H8CBHU0 with PID 9464 (C:\Users\hp\OneDrive\Desktop\CTS INTERNSHIP\portfolio_management\jwtauthentication\target\classes started by Nachiketa in C:\Users\hp\OneDrive\Desktop\CTS INTERNSHIP\portfolio_management\jwtauthentication)
""2022-07-27 09:41:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
""2022-07-27 09:41:25 [main] INFO  com.jwt.JwtauthenticationApplication - Started JwtauthenticationApplication in 19.753 seconds (JVM running for 24.864)
""2022-07-27 09:46:07 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2022-07-27 09:46:07 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2022-07-27 09:46:09 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1961 ms
""2022-07-27 09:47:11 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning TokeneyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJqYXNoYW4iLCJleHAiOjE2NTg5MzE0MzEsImlhdCI6MTY1ODg5NTQzMX0.jpxKd1mJ2K1R0kwlxua9u4yMA0UzRB8xQSJBxd8kyyY
""2022-07-27 09:47:15 [http-nio-8081-exec-7] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:17 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:47:17 [http-nio-8081-exec-9] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:47:30 [http-nio-8081-exec-1] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:31 [http-nio-8081-exec-2] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:31 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:47:31 [http-nio-8081-exec-5] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:47:32 [http-nio-8081-exec-6] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:35 [http-nio-8081-exec-7] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:35 [http-nio-8081-exec-8] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:38 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:38 [http-nio-8081-exec-9] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:38 [http-nio-8081-exec-1] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:39 [http-nio-8081-exec-2] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:47:39 [http-nio-8081-exec-3] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:47:39 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:39 [http-nio-8081-exec-5] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:39 [http-nio-8081-exec-6] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:39 [http-nio-8081-exec-8] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:39 [http-nio-8081-exec-7] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:39 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:49 [http-nio-8081-exec-1] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:49 [http-nio-8081-exec-2] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:56 [http-nio-8081-exec-3] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:47:56 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:47:56 [http-nio-8081-exec-5] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:56 [http-nio-8081-exec-6] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:56 [http-nio-8081-exec-10] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:56 [http-nio-8081-exec-7] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:47:57 [http-nio-8081-exec-8] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:48:15 [http-nio-8081-exec-9] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:48:15 [http-nio-8081-exec-1] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:48:16 [http-nio-8081-exec-2] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:48:16 [http-nio-8081-exec-3] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:48:16 [http-nio-8081-exec-4] INFO  com.jwt.controller.JwtController - Returning username:jashan
""2022-07-27 09:48:19 [http-nio-8081-exec-6] INFO  com.jwt.controller.JwtController - Returning userid
""2022-07-27 09:48:19 [http-nio-8081-exec-5] INFO  com.jwt.controller.JwtController - Returning userid
